List ,Headword ,Related forms,Total frequency
20k,gooseflesh,"gooseflesh (5), goosefleshed (1)",6
20k,gorget,"gorget (6), gorgets (1)",7
20k,gorgonzola,gorgonzola (11),11
20k,gorp,"gorp (1), gorping (1)",2
20k,grackle,"grackle (3), grackles (0)",3
20k,grappa,grappa (14),14
20k,greensward,greensward (9),9
20k,groundfish,groundfish (1),1
20k,gudgeon,"gudgeon (26), gudgeons (1)",27
20k,gul,gul (24),24
20k,gumboot,"gumboot (3), gumboots (18)",21
20k,gustatory,gustatory (3),3
20k,gynandrous,gynandrous (1),1
20k,gyroplane,"gyroplane (2), gyroplanes (0)",2
20k,habitue,"habitue (2), habitues (1)",3
20k,hadrosaur,"hadrosaur (1), hadrosaurs (4)",5
20k,haematoma,"haematoma (14), haematomas (2)",16
20k,haematuria,"haematuria (18), hematuria (0)",18
20k,halite,"halite (25), halites (2)",27
20k,handspring,"handspring (0), handsprings (2)",2
20k,haole,"haole (2), haoles (4)",6
20k,hardtack,hardtack (2),2
20k,harebell,"harebell (10), harebells (10)",20
20k,hebraic,hebraic (10),10
20k,hemangioma,"hemangioma (0), hemangiomas (0)",0
20k,hematoma,"hematoma (0), hematomas (0)",0
20k,henpeck,"henpeck (1), henpecked (10), henpecking (0), henpecks (0)",11
20k,heptathlon,"heptathlon (2), heptathlons (0)",2
20k,heteronomous,"heteronomous (7), heteronomously (1)",8
20k,hexafluoride,hexafluoride (11),11
20k,hexameter,"hexameter (7), hexameters (4)",11
20k,hexane,hexane (33),33
20k,hissy,hissy (6),6
20k,histiocytes,"histiocytes (1), histiocytosis (4)",5
20k,hod,"hod (15), hodders (2), hods (2)",19
20k,hogget,"hogget (3), hoggets (28)",31
20k,homburg,"homburg (19), homburgs (0)",19
20k,homebase,homebase (56),56
20k,hominy,hominy (0),0
20k,hoofer,"hoofer (6), hoofers (1)",7
20k,hoopoe,"hoopoe (11), hoopoes (10)",21
20k,hornpipe,"hornpipe (18), hornpipes (5)",23
20k,horology,"horology (5), horological (7), horologist (2)",14
20k,hotchpotch,hotchpotch (28),28
20k,hottie,"hottie (2), hotties (0)",2
20k,humdinger,"humdinger (10), humdingers (1)",11
20k,humeral,humeral (12),12
20k,hydride,"hydride (2), hydrides (2)",4
20k,hydroquinone,hydroquinone (9),9
20k,hymnody,hymnody (18),18
20k,hyperbola,"hyperbola (22), hyperbolae (1), hyperbolas (2)",25
20k,hypericum,hypericum (12),12
20k,hyperlink,"hyperlink (0), hyperlinked (0), hyperlinking (0), hyperlinks (0)",0
20k,hyperparathyroidism,hyperparathyroidism (7),7
20k,hypocaust,hypocaust (27),27
20k,hypochondriacal,hypochondriacal (8),8
20k,hypothermic,hypothermic (5),5
20k,ichor,"ichor (8), ichorous (0)",8
20k,ick,"ick (2), icks (2)",4
20k,identikit,"identikit (27), identikits (0)",27
20k,iliac,iliac (6),6
20k,illite,"illite (32), illites (1)",33
20k,immunoblot,"immunoblot (14), immunoblotting (20)",34
20k,impedimenta,impedimenta (16),16
20k,impost,"impost (18), imposts (3)",21
20k,incus,incus (0),0
20k,indicia,indicia (9),9
20k,indium,indium (38),38
20k,indurate,"indurate (5), indurated (3), indurates (0), indurating (0), induration (2)",10
20k,ingle,"ingle (21), ingles (13)",34
20k,inglenook,"inglenook (28), inglenooks (1)",29
20k,integument,"integument (22), integuments (1)",23
20k,intercooler,"intercooler (12), intercoolers (0)",12
20k,interdigitate,"interdigitate (2), interdigitated (1), interdigitates (1), interdigitating (11), interdigitation (2)",17
20k,internat,internat (36),36
20k,intifadah,"intifadah (1), intifadeh (0)",1
20k,intimal,intimal (10),10
20k,invigilate,"invigilate (6), invigilated (3), invigilates (0), invigilating (0), invigilator (20), invigilators (4)",33
20k,ipecac,"ipecac (2), ipecacuanha (8)",10
20k,ischia,"ischia (11), ischial (2)",13
20k,jai,jai (11),11
20k,jambalaya,jambalaya (5),5
20k,jamesian,jamesian (4),4
20k,javelina,"javelina (0), javelinas (0)",0
20k,jaywalk,"jaywalk (0), jaywalker (0), jaywalkers (0), jaywalking (0)",0
20k,jefe,"jefe (6), jefes (0)",6
20k,jello,jello (5),5
20k,jetlag,"jetlag (8), jetlagged (5)",13
20k,jezebel,"jezebel (21), jezebels (1)",22
20k,jitney,"jitney (6), jitneys (1)",7
20k,joggle,"joggle (4), joggled (7), joggles (1), joggling (4)",16
20k,jonquil,"jonquil (62), jonquils (1)",63
20k,juju,juju (4),4
20k,juste,juste (14),14
20k,justiciar,"justiciar (34), justiciars (1)",35
20k,kabob,"kabob (0), kabobs (0)",0
20k,kakapo,"kakapo (3), kakapos (0)",3
20k,kami,kami (6),6
20k,kazoo,"kazoo (5), kazoos (1)",6
20k,kerf,"kerf (3), kerfed (1), kerfing (6), kerfs (1)",11
20k,kibitz,"kibitz (0), kibitzed (0), kibitzer (0), kibitzers (0), kibitzing (1)",1
20k,kibosh,kibosh (4),4
20k,kickstart,"kickstart (11), kickstarted (0), kickstarting (1), kickstarts (1)",13
20k,killifish,killifish (16),16
20k,kimberlite,kimberlite (14),14
20k,knap,"knap (11), knapped (5), knapping (1), knaps (1)",18
20k,knurl,"knurl (0), knurly (0), knurled (10), knurling (0), knurlish (0), knurls (0)",10
20k,kola,kola (19),19
20k,kolkhoz,kolkhoz (6),6
20k,kos,kos (56),56
20k,kraal,"kraal (64), kraals (3)",67
20k,kris,"kris (18), krises (1)",19
20k,kroon,"kroon (10), kroons (1)",11
20k,kundalini,kundalini (13),13
20k,laager,"laager (7), laagers (0)",7
20k,labrum,labrum (10),10
20k,lachrymal,lachrymal (0),0
20k,lachrymose,"lachrymose (9), lachrymosely (0), lachrymosity (2)",11
20k,lacrimal,lacrimal (3),3
20k,lacustrine,lacustrine (13),13
20k,lambent,"lambent (6), lambencies (0), lambency (2)",8
20k,lamellar,lamellar (12),12
20k,landau,"landau (80), landaus (6)",86
20k,langoustine,"langoustine (8), langoustines (6)",14
20k,langur,"langur (7), langurs (6)",13
20k,lariat,"lariat (3), lariats (0)",3
20k,latifundium,"latifundium (2), latifundia (19)",21
20k,laybys,"laybys (8), layby (28)",36
20k,leat,"leat (27), leats (4)",31
20k,lectin,"lectin (12), lectins (9)",21
20k,legerdemain,legerdemain (4),4
20k,leishmania,"leishmania (5), leishmaniases (0), leishmaniasis (5)",10
20k,lenten,lenten (41),41
20k,leptin,leptin (0),0
20k,lewisian,lewisian (34),34
20k,libber,"libber (8), libbers (7)",15
20k,libero,libero (15),15
20k,libran,"libran (19), libra (84)",103
20k,librate,"librate (1), librated (0), librates (1), librating (0), libration (3), librations (5)",10
20k,licencee,"licencee (9), licencees (30)",39
20k,licentiate,licentiate (40),40
20k,lindane,lindane (15),15
20k,litem,litem (163),163
20k,lollop,"lollop (1), lolloped (2), lolloping (18), lollops (1)",22
20k,loral,loral (3),3
20k,lory,"lory (7), lories (2)",9
20k,lour,"lour (1), loured (2), louring (4), lours (1)",8
20k,lovage,lovage (15),15
20k,lubber,"lubber (1), lubbers (38)",39
20k,lumbago,lumbago (13),13
20k,lunette,"lunette (7), lunettes (4)",11
20k,lunt,lunt (20),20
20k,lutea,lutea (13),13
20k,lymphoblastic,lymphoblastic (18),18
20k,machina,machina (25),25
20k,macroeconomist,"macroeconomist (1), macroeconomists (16)",17
20k,magmatic,magmatic (23),23
20k,magnetar,"magnetar (0), magnetars (0)",0
20k,magneto,magneto (27),27
20k,mahonia,mahonia (12),12
20k,mailshot,"mailshot (28), mailshots (17)",45
20k,maladroit,"maladroit (7), maladroitly (1), maladroitness (2)",10
20k,malaprop,"malaprop (3), malapropism (2), malapropisms (5)",10
20k,mameluke,"mameluke (8), mamelukes (23)",31
20k,manilla,manilla (22),22
20k,mannitol,mannitol (15),15
20k,mantilla,"mantilla (15), mantillas (2)",17
20k,marche,marche (43),43
20k,marchese,marchese (6),6
20k,mariculture,mariculture (1),1
20k,marram,"marram (23), marrams (1)",24
20k,massa,massa (17),17
20k,mazy,mazy (11),11
20k,mealybug,"mealybug (0), mealybugs (2)",2
20k,medica,medica (47),47
20k,medicament,"medicament (1), medicaments (8)",9
20k,medigap,medigap (0),0
20k,medlar,"medlar (7), medlars (5)",12
20k,megafauna,megafauna (6),6
20k,melanism,"melanism (6), melanic (3), melanisms (23)",32
20k,memoriam,memoriam (27),27
20k,meningioma,"meningioma (0), meningiomas (0)",0
20k,mensch,mensch (10),10
20k,mentee,"mentee (0), mentees (0)",0
20k,merengue,"merengue (0), merengued (0), merengues (0), merenguing (0)",0
20k,merman,"merman (13), mermen (2)",15
20k,mesclun,mesclun (0),0
20k,mesoderm,mesoderm (23),23
20k,messieur,"messieur (0), messieurs (15)",15
20k,metalanguage,"metalanguage (7), metalanguages (1)",8
20k,metallica,metallica (51),51
20k,metastable,metastable (14),14
20k,methylmercury,methylmercury (0),0
20k,metrology,metrology (5),5
20k,mezzotint,"mezzotint (5), mezzotints (3)",8
20k,micelle,"micelle (4), micellar (9), micelles (24)",37
20k,microbrew,"microbrew (0), microbrewery (0), microbrews (0)",0
20k,microcephaly,"microcephaly (7), microcephalic (5), microcephalous (0), microcephalus (0)",12
20k,microfiber,"microfiber (0), microfibers (0)",0
20k,microtitre,microtitre (30),30
20k,microworld,"microworld (5), microworlds (3)",8
20k,mics,mics (11),11
20k,micturate,"micturate (1), micturated (0), micturates (0), micturating (0), micturition (18)",19
20k,midrash,midrash (3),3
20k,millibar,"millibar (2), millibars (8)",10
20k,millivolt,"millivolt (3), millivolts (14)",17
20k,mim,mim (21),21
20k,minny,"minny (17), minnies (7)",24
20k,minyan,minyan (4),4
20k,moil,"moil (1), moiled (9), moiling (2), moils (0), moiler (0), moilers (0)",12
20k,molal,"molal (4), molality (13), molarity (2)",19
20k,moly,moly (8),8
20k,momenta,momenta (7),7
20k,mongoloid,"mongoloid (5), mongoloids (2)",7
20k,monophyletic,monophyletic (10),10
20k,monstrance,"monstrance (12), monstrances (0)",12
20k,mountebank,"mountebank (4), mountebanks (4)",8
20k,mucoid,mucoid (12),12
20k,multicomponent,multicomponent (6),6
20k,multigenerational,multigenerational (0),0
20k,multitalented,multitalented (0),0
20k,multivalent,multivalent (5),5
20k,muntjac,"muntjac (17), muntjacs (0)",17
20k,mure,"mure (2), mured (0), mures (21), muring (1)",24
20k,murrelet,"murrelet (3), murrelets (0)",3
20k,muscadine,"muscadine (2), muscadines (0)",2
20k,muscatel,"muscatel (12), muscatels (2)",14
20k,musette,"musette (11), musettes (8)",19
20k,mustelid,"mustelid (6), mustelids (10)",16
20k,myasthenia,"myasthenia (18), myasthenic (0)",18
20k,myocyte,"myocyte (4), myocytes (3)",7
20k,myoelectric,myoelectric (3),3
20k,naltrexone,naltrexone (7),7
20k,nanomachine,"nanomachine (0), nanomachines (0)",0
20k,nanostructure,"nanostructure (0), nanostructured (0), nanostructures (0)",0
20k,narco,"narco (16), narcos (0)",16
20k,nauseam,nauseam (32),32
20k,neem,neem (7),7
20k,neodymium,neodymium (17),17
20k,nephritis,"nephritis (15), nephritic (1)",16
20k,nephrology,"nephrology (3), nephrologist (2), nephrologists (2)",7
20k,nephrotoxic,nephrotoxic (12),12
20k,nereid,"nereid (4), nereids (5)",9
20k,neroli,neroli (22),22
20k,neuro,neuro (53),53
20k,neurodegenerative,neurodegenerative (5),5
20k,newshound,"newshound (4), newshounds (9)",13
20k,nicad,nicad (21),21
20k,nifedipine,nifedipine (18),18
20k,nighthawk,"nighthawk (7), nighthawks (3)",10
20k,nightjar,"nightjar (19), nightjars (11)",30
20k,nincompoop,"nincompoop (1), nincompoops (4)",5
20k,noisette,"noisette (3), noisettes (10)",13
20k,nori,nori (7),7
20k,norte,norte (29),29
20k,noumenon,"noumenon (1), noumena (5), noumenal (7)",13
20k,novus,novus (26),26
20k,nucleosynthesis,nucleosynthesis (5),5
20k,nugatory,nugatory (16),16
20k,numbskull,"numbskull (5), numbskulls (3), numskull (1), numskulls (2)",11
20k,nutria,"nutria (0), nutrias (0)",0
20k,nymphet,"nymphet (5), nymphets (5)",10
20k,oast,"oast (29), oasts (2)",31
20k,obi,obi (2),2
20k,objet,objet (15),15
20k,obligato,"obligato (4), obbligato (16)",20
20k,obsequy,"obsequy (0), obsequies (15)",15
20k,oestrus,oestrus (34),34
20k,offertory,offertory (13),13
20k,ogee,"ogee (17), ogees (0)",17
20k,oink,"oink (5), oinked (0), oinking (0), oinks (0)",5
20k,oleate,oleate (35),35
20k,oligomer,"oligomer (15), oligomers (21)",36
20k,oligosaccharide,"oligosaccharide (3), oligosaccharides (15)",18
20k,openwork,"openwork (9), openworked (0)",9
20k,ophiolite,"ophiolite (25), ophiolites (8)",33
20k,optima,optima (20),20
20k,orangery,orangery (28),28
20k,ordo,ordo (25),25
20k,ordure,ordure (20),20
20k,ort,"ort (17), orts (2)",19
20k,osmium,osmium (15),15
20k,ostpolitik,ostpolitik (25),25
20k,otic,otic (7),7
20k,otologic,otologic (0),0
20k,otosclerosis,otosclerosis (2),2
20k,outturn,outturn (25),25
20k,pachyderm,"pachyderm (1), pachyderms (3)",4
20k,palanquin,"palanquin (5), palanquins (4)",9
20k,paleoanthropology,"paleoanthropology (0), paleoanthropologist (0), paleoanthropologists (1)",1
20k,paleography,"paleography (0), palaeographer (3), palaeography (17), paleographer (0)",20
20k,palp,"palp (6), palps (6)",12
20k,paraclete,paraclete (39),39
20k,paraeducator,"paraeducator (0), paraeducators (0)",0
20k,parafoil,"parafoil (15), parafoils (5)",20
20k,paramagnetic,paramagnetic (10),10
20k,parcs,parcs (32),32
20k,parlement,parlement (47),47
20k,parturition,parturition (17),17
20k,pastern,"pastern (4), pasterns (13)",17
20k,patronym,"patronym (2), patronymic (5), patronymics (5)",12
20k,pavan,"pavan (5), pavane (7), pavanes (3), pavans (3)",18
20k,peahen,"peahen (5), peahens (6)",11
20k,pearlescent,"pearlescent (8), pearlescence (0)",8
20k,peduncle,"peduncle (14), peduncles (4), peduncular (0)",18
20k,pelota,pelota (14),14
20k,perchlorate,perchlorate (5),5
20k,peri,peri (43),43
20k,perlite,perlite (4),4
20k,pertinacious,"pertinacious (7), pertinaciousness (0), pertinacity (10)",17
20k,pharyngitis,pharyngitis (6),6
20k,philadelphus,philadelphus (19),19
20k,phospholipase,"phospholipase (31), phospholipases (3)",34
20k,photodiode,"photodiode (8), photodiodes (3)",11
20k,photolithography,"photolithography (6), photolithograph (0), photolithographic (0), photolithographically (1)",7
20k,phytoestrogen,"phytoestrogen (0), phytoestrogens (0)",0
20k,phytolith,"phytolith (0), phytoliths (5)",5
20k,pickerel,"pickerel (2), pickerels (0)",2
20k,pilar,pilar (22),22
20k,pillock,"pillock (22), pillocks (3)",25
20k,pinniped,"pinniped (1), pinnipeds (0)",1
20k,pinon,"pinon (1), pinons (0)",1
20k,pistil,"pistil (2), pistils (2)",4
20k,pitbull,"pitbull (6), pitbulls (0)",6
20k,pizzicato,pizzicato (19),19
20k,planetoid,"planetoid (2), planetoids (1)",3
20k,plash,"plash (5), plashed (3), plashes (0), plashing (5)",13
20k,platen,"platen (7), platens (1)",8
20k,playa,playa (26),26
20k,plebe,"plebe (0), plebes (0)",0
20k,plectrum,"plectrum (21), plectrums (5)",26
20k,pleomorphic,"pleomorphic (0), pleomorphism (0)",0
20k,ploidy,ploidy (20),20
20k,pneumothorax,pneumothorax (8),8
20k,poleax,"poleax (0), poleaxe (0), poleaxed (10), poleaxes (0), poleaxing (0)",10
20k,polyphenol,"polyphenol (0), polyphenols (0)",0
20k,polypoid,polypoid (9),9
20k,polyvalent,"polyvalent (7), polyvalence (0)",7
20k,pomander,"pomander (16), pomanders (4)",20
20k,poofter,"poofter (20), poofters (3)",23
20k,popinjay,"popinjay (5), popinjays (14)",19
20k,portakabin,"portakabin (33), portakabins (6)",39
20k,prate,"prate (4), prateed (0), prates (1), prating (6), pratingly (0)",11
20k,preterite,"preterite (5), preterit (0), preterites (0)",5
20k,primavera,primavera (24),24
20k,proforma,proforma (19),19
20k,progestin,"progestin (0), progestins (0)",0
20k,projet,"projet (7), projets (9)",16
20k,pronate,"pronate (0), pronated (0), pronates (0), pronating (1), pronation (8)",9
20k,prosopopoeia,"prosopopoeia (3), prostatectomies (2)",5
20k,proteinuria,proteinuria (15),15
20k,prothrombin,prothrombin (20),20
20k,proto,proto (154),154
20k,protostar,"protostar (2), protostars (2)",4
20k,provender,provender (10),10
20k,provolone,provolone (2),2
20k,prozac,prozac (31),31
20k,psychoeducational,psychoeducational (0),0
20k,pterosaur,"pterosaur (1), pterosaurs (9)",10
20k,pudendum,"pudendum (4), pudenda (7), pudendal (0)",11
20k,puerperal,"puerperal (20), puerperally (0)",20
20k,purlieu,"purlieu (1), purlieus (19)",20
20k,purlin,"purlin (5), purlins (16)",21
20k,pyrolysis,"pyrolysis (10), pyrolytic (2), pyrolytically (0)",12
20k,pyromaniac,"pyromaniac (7), pyromania (2), pyromaniacal (0), pyromaniacs (1)",10
20k,pyruvate,"pyruvate (14), pyruvic (3)",17
20k,pyx,"pyx (23), pyxes (0)",23
20k,quadrat,"quadrat (4), quadrats (16)",20
20k,quadrature,quadrature (9),9
20k,quadrille,"quadrille (7), quadrilles (6)",13
20k,quadruplet,"quadruplet (0), quadruplets (2)",2
20k,quai,quai (16),16
20k,quoin,"quoin (4), coign (1), coigne (0), coignes (0), coigns (0), quoins (9)",14
20k,quoth,quoth (12),12
20k,ragweed,ragweed (1),1
20k,ragwort,ragwort (28),28
20k,raisonne,raisonne (8),8
20k,ranched,ranched (5),5
20k,ranchero,"ranchero (1), rancheros (0)",1
20k,rasa,rasa (30),30
20k,rata,rata (101),101
20k,recto,"recto (10), rectos (0)",10
20k,recusant,"recusant (15), recusants (16)",31
20k,rege,"rege (2), reges (2)",4
20k,regius,regius (41),41
20k,renminbi,"renminbi (4), renminbis (0)",4
20k,repro,repro (19),19
20k,reprographics,"reprographics (17), reprographer (0), reprographic (13), reprography (0)",30
20k,resveratrol,resveratrol (0),0
20k,reticle,"reticle (0), reticles (0)",0
20k,retsina,retsina (20),20
20k,rhabdomyosarcoma,"rhabdomyosarcoma (3), rhabdomyosarcomas (0)",3
20k,rhinoplasty,rhinoplasty (1),1
20k,rhodopsin,"rhodopsin (10), rhodopsins (2)",12
20k,rhombus,rhombus (22),22
20k,riband,"riband (18), ribands (2)",20
20k,ribozyme,"ribozyme (2), ribozymes (2)",4
20k,riffraff,riffraff (2),2
20k,rigatoni,rigatoni (1),1
20k,rima,"rima (21), rimas (0)",21
20k,ripcord,"ripcord (10), ripcords (1)",11
20k,roister,"roister (2), roistered (3), roistering (11), roisters (0)",16
20k,rolodex,rolodex (3),3
20k,roustabout,"roustabout (5), roustabouts (2)",7
20k,rube,"rube (0), rubes (1)",1
20k,rubidium,rubidium (13),13
20k,ruction,"ruction (2), ructions (15)",17
20k,rutabaga,"rutabaga (0), rutabagas (0)",0
20k,sabot,"sabot (0), sabots (1)",1
20k,sacerdotal,"sacerdotal (13), sacerdotally (0)",13
20k,sagittarian,"sagittarian (20), sagittarius (83)",103
20k,sainte,sainte (59),59
20k,salicylate,salicylate (20),20
20k,saltine,"saltine (0), saltines (1)",1
20k,saltpetre,saltpetre (27),27
20k,salvific,salvific (0),0
20k,sambar,"sambar (8), sambars (1)",9
20k,sampan,"sampan (6), sampans (4)",10
20k,sandgrouse,sandgrouse (35),35
20k,sanitarium,"sanitarium (1), sanitariums (0)",1
20k,saponin,"saponin (5), saponins (4)",9
20k,saraband,saraband (5),5
20k,sargasso,"sargasso (23), sargassum (4)",27
20k,sati,"sati (5), satis (15)",20
20k,satinwood,satinwood (20),20
20k,saurian,"saurian (5), saurians (2)",7
20k,savoir,savoir (19),19
20k,sawfly,"sawfly (10), sawflies (4)",14
20k,sawgrass,sawgrass (4),4
20k,saxifrage,saxifrage (14),14
20k,scatty,"scatty (24), scattier (0), scattiest (0), scattiness (1)",25
20k,scaup,"scaup (11), scaups (2)",13
20k,schnauzer,"schnauzer (3), schnauzers (1)",4
20k,sclerotic,sclerotic (5),5
